,History,Stock,% ofPortfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,CurrentPrice,+/-ReportedPrice,52WeekLow,52WeekHigh,PortfolioName,PortfolioDate,URL
13,≡,UNH - United Health Group Inc.,3.27,Add 1.85%,3877447,$502.14,"$1,947,021,000",,$517.76,3.11%,$355.76,$524.73,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
14,≡,GOOGL - Alphabet Inc.,2.88,Add 3.05%,592834,$2897.04,"$1,717,464,000",,$2811.82,-2.94%,$2193.62,$3030.93,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
15,≡,ABNB - Airbnb Inc.,2.78,Add 4.09%,9923783,$166.49,"$1,652,211,000",,$171.20,2.83%,$129.71,$212.58,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
16,≡,NFLX - Netflix Inc.,2.73,Add 3.05%,2694913,$602.44,"$1,623,523,000",,$380.24,-36.88%,$329.82,$700.99,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
17,≡,SBUX - Starbucks Corp.,2.59,Add 1.37%,13179043,$116.97,"$1,541,553,000",,$84.14,-28.07%,$78.92,$124.66,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
18,≡,IT - Gartner Inc.,2.58,Add 1.92%,4595720,$334.32,"$1,536,441,000",,$297.53,-11.00%,$185.27,$369.00,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
19,≡,PYPL - PayPal Holdings Inc.,2.37,Add 8.64%,7472721,$188.58,"$1,409,206,000",,$117.64,-37.62%,$92.25,$310.16,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
20,≡,NKE - NIKE Inc.,2.3,Add 2.36%,8213772,$166.67,"$1,368,989,000",,$132.30,-20.62%,$116.75,$178.37,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
21,≡,ISRG - Intuitive Surgical Inc.,2.06,Add 3.34%,3406918,$359.30,"$1,224,106,000",,$296.10,-17.59%,$253.19,$369.69,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
22,≡,ALGN - Align Technology Inc.,1.96,Add 7.29%,1777198,$657.18,"$1,167,939,000",,$437.02,-33.50%,$372.62,$737.45,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
23,≡,ILMN - Illumina Inc.,1.7,Add 4.99%,2662702,$380.44,"$1,012,998,000",,$363.69,-4.40%,$302.79,$526.00,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
24,≡,MSCI - MSCI Inc.,1.46,Add 2.35%,1416033,$612.69,"$867,589,000",,$513.23,-16.23%,$430.28,$678.55,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
25,≡,DOCU - DocuSign Inc.,0.96,Buy,3738508,$152.31,"$569,412,000",,$107.47,-29.44%,$71.00,$314.76,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
26,≡,ICLR - ICON plc,0.83,Reduce 4.40%,1586759,$309.70,"$491,419,000",,$243.20,-21.47%,$193.25,$313.00,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
27,≡,AON - Aon Plc,0.53,Add 1.97%,1042408,$300.56,"$313,306,000",,$325.97,8.45%,$221.98,$331.90,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
28,≡,SAP - SAP SE,0.19,Add 2.22%,809865,$140.11,"$113,470,000",,$110.81,-20.91%,$104.14,$151.48,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
29,≡,MDT - Medtronic plc,0.17,Reduce 0.67%,1006439,$103.45,"$104,116,000",,$110.50,6.81%,$97.17,$133.57,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
30,≡,IWF - iShares Russell 1000 Growth ETF,0.12,Add 264.18%,239423,$305.59,"$73,165,000",,$277.76,-9.11%,$242.81,$311.08,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
31,≡,ADP - Automatic Data Processing Inc.,0.11,Reduce 2.26%,272171,$246.58,"$67,112,000",,$238.09,-3.44%,$181.43,$247.73,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
32,≡,ASML - ASML Holding NV,0.11,Add 2.55%,80770,$796.14,"$64,304,000",,$647.23,-18.70%,$558.77,$893.61,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
33,≡,MELI - Mercadolibre Inc.,0.1,Add 162.25%,45222,$1348.39,"$60,977,000",,$1217.08,-9.74%,$858.99,$1970.13,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
34,≡,GLOB - Globant S.A.,0.09,Add 112.08%,177024,$314.09,"$55,601,000",,$259.76,-17.30%,$202.58,$354.62,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
35,≡,ACWX - iShares MSCI ACWI EX U.S. ETF,0.05,Add 4408.50%,577855,$55.60,"$32,129,000",,$52.48,-5.61%,$48.05,$57.75,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
36,≡,FOXF - Fox Factory Holding Corp.,0.05,Add 25.24%,172966,$170.10,"$29,422,000",,$95.10,-44.09%,$93.42,$190.29,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
37,≡,TRUP - Trupanion Inc.,0.05,Add 25.26%,207364,$132.03,"$27,378,000",,$92.67,-29.81%,$69.74,$158.25,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
38,≡,UL - Unilever PLC,0.05,Reduce 2.51%,521260,$53.79,"$28,039,000",,$46.16,-14.18%,$43.11,$60.13,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
39,≡,WING - Wingstop Inc.,0.05,Add 25.15%,156459,$172.80,"$27,036,000",,$112.80,-34.72%,$106.79,$180.59,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
40,≡,DAVA - Endava plc,0.04,Add 1.63%,155570,$167.92,"$26,123,000",,$133.64,-20.41%,$79.21,$172.41,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
41,≡,EXPO - Exponent Inc.,0.04,Add 25.84%,188320,$116.73,"$21,983,000",,$107.10,-8.25%,$83.28,$127.07,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
42,≡,GSHD - Goosehead Insurance Inc.,0.04,Add 15.20%,183163,$130.08,"$23,826,000",,$74.94,-42.39%,$62.40,$181.30,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
43,≡,MEDP - Medpace Holdings Inc.,0.04,Add 25.08%,118225,$217.64,"$25,730,000",,$165.64,-23.89%,$136.80,$231.00,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
44,≡,RVLV - Revolve Group Inc.,0.04,Add 28.37%,384363,$56.04,"$21,540,000",,$53.09,-5.26%,$38.82,$89.60,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
45,≡,SHOP - Shopify Inc.,0.04,Add 0.21%,19001,$1377.40,"$26,172,000",,$702.92,-48.97%,$510.02,$1762.92,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
46,≡,ALRM - Alarm.Com Holdings,0.03,Add 25.01%,199775,$84.81,"$16,943,000",,$66.01,-22.17%,$60.70,$95.83,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
47,≡,AMN - AMN Healthcare Services,0.03,Add 28.63%,146291,$122.33,"$17,896,000",,$100.91,-17.51%,$72.73,$129.12,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
48,≡,APPF - AppFolio Inc. CL A,0.03,Add 26.18%,126611,$121.06,"$15,328,000",,$113.97,-5.86%,$103.63,$150.78,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
49,≡,BL - BlackLine Inc.,0.03,Add 30.96%,159576,$103.54,"$16,522,000",,$74.00,-28.53%,$65.15,$135.00,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
50,≡,DCT - Duck Creek Technologies,0.03,Add 67.38%,543916,$30.11,"$16,377,000",,$18.53,-38.46%,$18.53,$50.90,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
51,≡,HLI - Houlihan Lokey Inc.,0.03,Add 25.27%,182141,$103.52,"$18,855,000",,$89.00,-14.03%,$64.19,$122.11,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
52,≡,PGNY - Progyny Inc.,0.03,Add 25.32%,385879,$50.35,"$19,429,000",,$48.06,-4.55%,$32.86,$68.32,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
53,≡,WRBY - Warby Parker Inc.,0.03,Buy,323557,$46.56,"$15,065,000",,$32.78,-29.60%,$22.59,$60.30,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
54,≡,YETI - YETI Holdings Inc.,0.03,Add 49.66%,228774,$82.83,"$18,949,000",,$59.49,-28.18%,$54.00,$108.82,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
55,≡,ALTR - Altair Engineering Inc.,0.02,Add 28.65%,153381,$77.32,"$11,859,000",,$63.08,-18.42%,$56.71,$82.96,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
56,≡,BIGC - BigCommerce Holdings,0.02,Buy,303717,$35.37,"$10,742,000",,$22.34,-36.84%,$17.27,$72.20,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
57,≡,HELE - Helen of Troy Ltd.,0.02,Add 24.54%,57592,$244.48,"$14,080,000",,$196.94,-19.45%,$192.90,$256.26,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
58,≡,MBUU - Malibu Boats Inc.,0.02,Add 30.35%,136241,$68.73,"$9,364,000",,$53.09,-22.76%,$53.09,$89.27,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
59,≡,OLO - Olo Inc.,0.02,Add 42.76%,704500,$20.81,"$14,661,000",,$13.72,-34.07%,$11.47,$49.00,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
60,≡,PCTY - Paylocity Holding Corp.,0.02,Add 16.15%,41861,$236.16,"$9,886,000",,$209.69,-11.21%,$154.26,$314.50,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
61,≡,QLYS - Qualys Inc.,0.02,Add 28.63%,99669,$137.22,"$13,677,000",,$140.16,2.14%,$92.00,$145.50,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
62,≡,ACWI - iShares MSCI ACWI ETF,0.01,Add 2052.01%,81927,$105.78,"$8,666,000",,$99.89,-5.57%,$91.53,$106.78,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
63,≡,AZPN - Aspen Technology Inc.,0.01,Reduce 20.66%,21682,$152.20,"$3,300,000",,$166.32,9.28%,$122.29,$169.22,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
64,≡,CATH - Global X S&P 500 Catholic Values ETF,0.01,Add 44.71%,144531,$58.91,"$8,514,000",,$56.31,-4.41%,$49.94,$60.85,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
65,≡,CDW - CDW Corp.,0.01,Add 10.59%,19742,$204.79,"$4,043,000",,$176.86,-13.64%,$160.96,$208.09,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
66,≡,CPRT - Copart Inc.,0.01,Add 10.58%,22409,$151.64,"$3,398,000",,$126.41,-16.64%,$106.37,$161.12,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
67,≡,DT - Dynatrace Inc.,0.01,Reduce 5.88%,80853,$60.34,"$4,879,000",,$46.28,-23.30%,$37.66,$80.13,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
68,≡,ETSY - Etsy Inc.,0.01,Reduce 58.69%,26807,$218.94,"$5,869,000",,$130.16,-40.55%,$109.38,$307.75,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
69,≡,FICO - Fair Isaac Corp.,0.01,Add 25.31%,7739,$433.65,"$3,356,000",,$439.91,1.44%,$342.89,$553.97,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
70,≡,FTCH - Farfetch Ltd,0.01,Add 47.96%,91689,$33.43,"$3,065,000",,$16.47,-50.73%,$10.75,$54.15,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
71,≡,PAYC - Paycom Software Inc.,0.01,Add 25.77%,11880,$415.15,"$4,932,000",,$354.15,-14.69%,$283.91,$558.97,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
72,≡,RH - RH,0.01,Add 41.06%,10292,$535.95,"$5,516,000",,$354.33,-33.89%,$317.00,$744.56,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
73,≡,TREX - Trex Company Inc.,0.01,Add 10.58%,35581,$135.04,"$4,805,000",,$64.53,-52.21%,$63.92,$140.98,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
74,≡,TTD - Trade Desk Inc.,0.01,Reduce 31.92%,35071,$91.64,"$3,214,000",,$71.94,-21.50%,$46.71,$114.09,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
75,≡,TYL - Tyler Technologies Inc.,0.01,Add 21.86%,9297,$537.92,"$5,001,000",,$438.75,-18.44%,$384.38,$557.55,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
76,≡,ATHM - Autohome Inc.,0.0,,10995,$29.47,"$324,000",,$32.29,9.57%,$20.11,$96.28,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
77,≡,BABA - Alibaba Group Holdings,0.0,Reduce 99.53%,2244,$118.98,"$267,000",,$111.00,-6.71%,$73.28,$245.69,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
78,≡,BKNG - Booking Holdings Inc.,0.0,,134,$2395.52,"$321,000",,$2295.98,-4.16%,$1796.45,$2715.66,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
79,≡,DG - Dollar General,0.0,Reduce 20.94%,4138,$235.86,"$976,000",,$229.36,-2.76%,$184.70,$239.56,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
80,≡,EPAM - EPAM Systems Inc.,0.0,Reduce 27.57%,3378,$668.44,"$2,258,000",,$282.39,-57.75%,$168.59,$725.40,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
81,≡,FND - Floor & Decor Holdings,0.0,Buy,4689,$130.09,"$610,000",,$82.88,-36.29%,$79.38,$145.89,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
82,≡,KARO - Karooooo Ltd,0.0,Add 6.74%,41184,$40.77,"$1,679,000",,$30.45,-25.31%,$26.95,$42.50,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
83,≡,MYTE - MYT Netherlands Parent BV,0.0,Buy,55300,$21.21,"$1,173,000",,$12.59,-40.64%,$10.74,$32.71,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
84,≡,ORCL - Oracle Corp.,0.0,,4216,$87.29,"$368,000",,$82.94,-4.98%,$70.23,$105.95,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
85,≡,ORLY - O'Reilly Automotive,0.0,,1035,$706.28,"$731,000",,$690.78,-2.19%,$506.51,$710.86,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
86,≡,REGN - Regeneron Pharmaceuticals,0.0,Reduce 10.07%,1938,$631.58,"$1,224,000",,$691.83,9.54%,$469.80,$710.21,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
87,≡,TAL - TAL Education Group,0.0,,17340,$3.92,"$68,000",,$3.37,-14.03%,$1.60,$66.00,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
88,≡,TME - Tencent Music Entertainment Grp,0.0,Add 68.65%,118139,$6.85,"$809,000",,$5.19,-24.23%,$2.95,$20.57,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
89,≡,TPIF - Timothy Plan International ETF,0.0,Add 2.03%,12139,$29.08,"$353,000",,$26.82,-7.77%,$24.75,$30.09,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
90,≡,TPLC - Timothy Plan US Large Mid Cap Core ETF,0.0,Add 167.03%,34353,$38.72,"$1,330,000",,$36.44,-5.89%,$33.03,$38.80,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
91,≡,YNDX - Yandex N.V.,0.0,Add 10.76%,35513,$60.51,"$2,149,000",,$18.94,-68.70%,,$24.05,Polen Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=pcm
0,≡,BRK.A - Berkshire Hathaway CL A,11.96,Reduce 2.23%,2976,$450661.96,"$1,341,170,000",,$516000.00,14.50%,$393972.51,$544389.26,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
1,≡,NSRGY - Nestle,11.64,Reduce 2.73%,9292537,$140.37,"$1,304,372,000",,$131.64,-6.22%,$113.89,$141.95,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
2,≡,MA - Mastercard Inc.,9.8,Reduce 3.09%,3058213,$359.32,"$1,098,877,000",,$363.32,1.11%,$305.60,$400.47,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
3,≡,GOOG - Alphabet Inc. CL C,9.37,Reduce 5.39%,362996,$2893.59,"$1,050,362,000",,$2823.74,-2.41%,$2214.80,$3042.00,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
4,≡,CFRHF - Compagnie Financiere Richemont SA,8.19,Reduce 2.28%,6263391,$146.60,"$918,192,000",,$129.88,-11.41%,$97.50,$156.56,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
5,≡,PDRDF - Pernod Ricard,6.72,Reduce 5.05%,3130439,$240.52,"$752,926,000",,$217.07,-9.75%,$187.13,$246.48,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
6,≡,HKHHF - Heineken Holding NV,6.37,Add 5.14%,7739293,$92.28,"$714,211,000",,$78.21,-15.25%,$69.90,$104.88,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
7,≡,PM - Philip Morris Intl.,6.14,Reduce 3.62%,7241512,$95.00,"$687,944,000",,$95.66,0.69%,$83.29,$110.98,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
8,≡,BRK.B - Berkshire Hathaway CL B,4.87,Reduce 3.88%,1826210,$299.00,"$546,037,000",,$344.80,15.32%,$261.91,$362.10,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
9,≡,MLM - Martin Marietta,4.59,Reduce 1.98%,1168678,$440.52,"$514,826,000",,$381.21,-13.46%,$328.16,$445.75,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
10,≡,UL - Unilever PLC,4.1,Reduce 9.68%,8545212,$53.79,"$459,634,000",,$46.16,-14.18%,$43.11,$60.13,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
11,≡,JPM - JPMorgan Chase & Co.,3.31,Reduce 6.80%,2344257,$158.35,"$371,213,000",,$133.34,-15.79%,$127.27,$171.93,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
12,≡,CMCSA - Comcast Corp.,2.26,Reduce 3.04%,5031770,$50.33,"$253,249,000",,$47.88,-4.87%,$44.27,$61.22,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
13,≡,ASHTF - Ashtead Group plc,1.76,Reduce 1.25%,2454697,$80.48,"$197,557,000",,$63.85,-20.66%,$59.74,$87.50,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
14,≡,BF.A - Brown-Forman Corp. CL A,1.69,Reduce 2.44%,2798664,$67.79,"$189,721,000",,$63.51,-6.31%,$57.92,$74.24,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
15,≡,BABA - Alibaba Group Holdings,1.66,Reduce 2.04%,1562502,$118.79,"$185,610,000",,$111.00,-6.56%,$73.28,$245.69,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
16,≡,CABO - Cable ONE Inc.,1.43,Add 3.52%,90821,$1763.45,"$160,158,000",,$1500.00,-14.94%,$1375.63,$2129.14,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
17,≡,V - Visa Inc.,0.74,Reduce 5.12%,382157,$216.71,"$82,817,000",,$226.09,4.33%,$186.67,$251.47,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
18,≡,BF.B - Brown-Forman Corp.,0.71,Reduce 3.55%,1092274,$72.86,"$79,583,000",,$67.65,-7.15%,$62.33,$79.65,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
19,≡,BUD - Anheuser-Busch InBev,0.45,Reduce 83.76%,838781,$60.47,"$50,717,000",,$60.80,0.55%,$52.65,$79.67,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
20,≡,WFC - Wells Fargo,0.45,Reduce 2.44%,1047346,$47.98,"$50,252,000",,$48.12,0.29%,$38.48,$60.30,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
21,≡,CFRSF - Compagnie Financiere Richemont WTS 23,0.14,Reduce 1.89%,13800707,$1.10,"$15,146,000",,$0.65,-40.91%,$0.05,$1.10,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
22,≡,MO - Altria Group Inc.,0.14,Add 0.47%,331175,$47.39,"$15,694,000",,$52.64,11.08%,$41.02,$53.64,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
23,≡,VMC - Vulcan Materials,0.12,Reduce 2.48%,66952,$207.58,"$13,898,000",,$182.35,-12.15%,$162.03,$213.18,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
24,≡,DVDCF - Davide Campari-Milano S.p.A.,0.11,Reduce 1.36%,878836,$14.62,"$12,847,000",,$11.40,-22.02%,$9.70,$15.23,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
25,≡,SWMAF - Swedish Match AB,0.1,Reduce 0.37%,1347281,$7.95,"$10,717,000",,$7.70,-3.14%,$6.80,$85.35,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
26,≡,XOM - Exxon Mobil Corp.,0.1,Add 0.61%,179067,$61.19,"$10,957,000",,$82.73,35.20%,$50.85,$91.51,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
27,≡,CR - Crane Co.,0.07,Reduce 3.47%,75056,$101.72,"$7,635,000",,$104.92,3.15%,$83.57,$114.87,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
28,≡,MKL - Markel Corp.,0.07,Reduce 1.14%,6527,$1233.95,"$8,054,000",,$1473.69,19.43%,$1155.00,$1513.00,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
29,≡,OUT - Outfront Media Inc.,0.07,Reduce 4.36%,284313,$26.82,"$7,625,000",,$27.74,3.43%,$20.36,$29.36,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
30,≡,AXP - American Express,0.06,Reduce 3.69%,41077,$163.60,"$6,720,000",,$185.40,13.33%,$139.62,$199.55,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
31,≡,HRL - Hormel Foods Corp.,0.06,Reduce 1.27%,138991,$48.81,"$6,784,000",,$52.27,7.09%,$40.04,$53.19,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
32,≡,PG - Procter & Gamble,0.06,Reduce 11.83%,37757,$163.57,"$6,176,000",,$154.62,-5.47%,$127.99,$165.35,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
33,≡,CABJF - Carlsberg A/S,0.05,Reduce 2.82%,34382,$172.71,"$5,938,000",,$117.23,-32.12%,$111.55,$194.55,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
34,≡,DOV - Dover Corp.,0.05,Reduce 2.25%,30467,$181.61,"$5,533,000",,$153.92,-15.25%,$135.96,$183.45,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
35,≡,HINKF - Heineken NV,0.04,Reduce 2.74%,39066,$112.43,"$4,392,000",,$93.12,-17.18%,$85.65,$122.00,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
36,≡,MKC - McCormick & Co.,0.04,Reduce 1.24%,47825,$96.60,"$4,620,000",,$102.79,6.41%,$77.55,$107.35,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
37,≡,UNP - Union Pacific,0.04,Add 0.43%,18252,$251.92,"$4,598,000",,$252.11,0.08%,$193.80,$278.94,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
38,≡,COST - Costco Co.,0.03,,5264,$567.63,"$2,988,000",,$575.32,1.35%,$355.06,$586.32,Thomas Russo - Gardner Russo & Quinn,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=GR
